File Number,Address,InDate,Folder Name,QC_Status,Comments,Actions
21 233980 NNY 15 OZ,1837 BAYVIEW AVE    ,2021-11-04,1837-1845 BAYVIEW AVE,,,
21 233980 NNY 15 OZ,1839 BAYVIEW AVE    ,2021-11-04,1837-1845 BAYVIEW AVE,,,
21 233980 NNY 15 OZ,1841 BAYVIEW AVE    ,2021-11-04,1837-1845 BAYVIEW AVE,,,
21 233980 NNY 15 OZ,1843 BAYVIEW AVE    ,2021-11-04,1837-1845 BAYVIEW AVE,,,
21 233980 NNY 15 OZ,1845 BAYVIEW AVE    ,2021-11-04,1837-1845 BAYVIEW AVE,,,
21 233301 NNY 17 OZ,11 GREENBRIAR RD    ,2021-11-02,11 GREENBRIAR RD,,,
21 234009 NNY 15 OZ,136 BROADWAY AVE    ,2021-11-04,136 BROADWAY AVE,,,
21 234538 NNY 06 OZ,155 ANTIBES DR    ,2021-11-05,155 ANTIBES DR,,,
21 233896 NNY 08 OZ,36 EGLINTON AVE W  ,2021-11-03,36-44 EGLINTON AVE W,,,
21 235960 NNY 15 OZ,23 BRENTCLIFFE RD    ,2021-11-09,943-963 EGLINTON AVE E & 23 BRENTCLIFFE RD,,,
21 235960 NNY 15 OZ,957 EGLINTON AVE E  ,2021-11-09,943-963 EGLINTON AVE E & 23 BRENTCLIFFE RD,,,
21 235960 NNY 15 OZ,943 EGLINTON AVE E  ,2021-11-09,943-963 EGLINTON AVE E & 23 BRENTCLIFFE RD,,,
21 235960 NNY 15 OZ,945 EGLINTON AVE E  ,2021-11-09,943-963 EGLINTON AVE E & 23 BRENTCLIFFE RD,,,
21 235960 NNY 15 OZ,953A EGLINTON AVE E  ,2021-11-09,943-963 EGLINTON AVE E & 23 BRENTCLIFFE RD,,,
21 235960 NNY 15 OZ,953 EGLINTON AVE E  ,2021-11-09,943-963 EGLINTON AVE E & 23 BRENTCLIFFE RD,,,
21 235960 NNY 15 OZ,955 EGLINTON AVE E  ,2021-11-09,943-963 EGLINTON AVE E & 23 BRENTCLIFFE RD,,,
21 235960 NNY 15 OZ,961 EGLINTON AVE E  ,2021-11-09,943-963 EGLINTON AVE E & 23 BRENTCLIFFE RD,,,
21 235960 NNY 15 OZ,963 EGLINTON AVE E  ,2021-11-09,943-963 EGLINTON AVE E & 23 BRENTCLIFFE RD,,,
21 235569 NNY 18 OZ,500 SHEPPARD AVE E  ,2021-11-08,500 SHEPPARD AVE E,,,
21 235229 NNY 08 OZ,2418 DUFFERIN ST    ,2021-11-08,2402-2418 DUFFERIN ST & 4-10 RAMSDEN RD,,,
21 235229 NNY 08 OZ,2408 DUFFERIN ST    ,2021-11-08,2402-2418 DUFFERIN ST & 4-10 RAMSDEN RD,,,
21 235229 NNY 08 OZ,2406 DUFFERIN ST    ,2021-11-08,2402-2418 DUFFERIN ST & 4-10 RAMSDEN RD,,,
21 235229 NNY 08 OZ,2404 DUFFERIN ST    ,2021-11-08,2402-2418 DUFFERIN ST & 4-10 RAMSDEN RD,,,
21 235229 NNY 08 OZ,2402 DUFFERIN ST    ,2021-11-08,2402-2418 DUFFERIN ST & 4-10 RAMSDEN RD,,,
21 235229 NNY 08 OZ,4 RAMSDEN RD    ,2021-11-08,2402-2418 DUFFERIN ST & 4-10 RAMSDEN RD,,,
21 235229 NNY 08 OZ,6 RAMSDEN RD    ,2021-11-08,2402-2418 DUFFERIN ST & 4-10 RAMSDEN RD,,,
21 235229 NNY 08 OZ,10 RAMSDEN RD    ,2021-11-08,2402-2418 DUFFERIN ST & 4-10 RAMSDEN RD,,,
21 235591 NNY 08 OZ,836 ROSELAWN AVE    ,2021-11-08,"131 LYON CRT, 836 & 838 ROSELAWN AVE",,,
21 235591 NNY 08 OZ,838 ROSELAWN AVE    ,2021-11-08,"131 LYON CRT, 836 & 838 ROSELAWN AVE",,,
21 235591 NNY 08 OZ,131 LYON CRT    ,2021-11-08,"131 LYON CRT, 836 & 838 ROSELAWN AVE",,,
21 235582 NNY 18 OZ,68 CHURCHILL AVE    ,2021-11-08,68-78 CHURCHILL AVE,,,
21 235582 NNY 18 OZ,70 CHURCHILL AVE    ,2021-11-08,68-78 CHURCHILL AVE,,,
21 235582 NNY 18 OZ,72 CHURCHILL AVE    ,2021-11-08,68-78 CHURCHILL AVE,,,
21 235582 NNY 18 OZ,74 CHURCHILL AVE    ,2021-11-08,68-78 CHURCHILL AVE,,,
21 235582 NNY 18 OZ,76 CHURCHILL AVE    ,2021-11-08,68-78 CHURCHILL AVE,,,
21 235582 NNY 18 OZ,78 CHURCHILL AVE    ,2021-11-08,68-78 CHURCHILL AVE,,,
21 239141 NNY 15 OZ,7 ROCHEFORT DR    ,2021-11-18,7-11 ROCHEFORT DR,,,
21 239141 NNY 15 OZ,11 ROCHEFORT DR    ,2021-11-18,7-11 ROCHEFORT DR,,,
21 246686 NNY 18 OZ,6464 YONGE ST,2021-12-09,6212-6600 YONGE ST,,,
21 252446 NNY 06 OZ,2 CHAMPAGNE DR    ,2021-12-31,2 CHAMPAGNE DR,,,
21 251207 NNY 15 OZ,133 ERSKINE AVE    ,2021-12-23,133-141 ERSKINE AVE,,,
21 251207 NNY 15 OZ,141 ERSKINE AVE    ,2021-12-23,133-141 ERSKINE AVE,,,
21 251397 NNY 16 OZ,3 SWIFT DR    ,2021-12-24,3 SWIFT DR,,,
21 251380 NNY 18 OZ,307 SHEPPARD AVE W  ,2021-12-24,307 SHEPPARD AVE W,,,
