File Number,Address,InDate,Folder Name,QC_Status,Comments,Actions
21 234506 STE 11 OZ,320-326 BLOOR ST W  ,2021-11-05,"320, 328, 332 BLOOR ST W",,,
21 234506 STE 11 OZ,328 BLOOR ST W  ,2021-11-05,"320, 328, 332 BLOOR ST W",,,
21 234506 STE 11 OZ,332 BLOOR ST W  ,2021-11-05,"320, 328, 332 BLOOR ST W",,,
21 234506 STE 11 OZ,320 BLOOR ST W  ,2021-11-05,"320, 328, 332 BLOOR ST W",,,
21 235163 STE 13 OZ,410 SHERBOURNE ST    ,2021-11-07,410 SHERBOURNE ST,,,
21 234490 STE 13 OZ,619 YONGE ST    ,2021-11-05,619-637 YONGE ST & 1-9 ISABELLA ST,,,
21 234490 STE 13 OZ,625 YONGE ST    ,2021-11-05,619-637 YONGE ST & 1-9 ISABELLA ST,,,
21 234490 STE 13 OZ,9 ISABELLA ST    ,2021-11-05,619-637 YONGE ST & 1-9 ISABELLA ST,,,
21 234490 STE 13 OZ,1 ISABELLA ST    ,2021-11-05,619-637 YONGE ST & 1-9 ISABELLA ST,,,
21 234490 STE 13 OZ,3 ISABELLA ST    ,2021-11-05,619-637 YONGE ST & 1-9 ISABELLA ST,,,
21 234490 STE 13 OZ,5 ISABELLA ST    ,2021-11-05,619-637 YONGE ST & 1-9 ISABELLA ST,,,
21 234490 STE 13 OZ,621 YONGE ST    ,2021-11-05,619-637 YONGE ST & 1-9 ISABELLA ST,,,
21 234490 STE 13 OZ,623A YONGE ST    ,2021-11-05,619-637 YONGE ST & 1-9 ISABELLA ST,,,
21 234490 STE 13 OZ,623B YONGE ST    ,2021-11-05,619-637 YONGE ST & 1-9 ISABELLA ST,,,
21 234490 STE 13 OZ,623 YONGE ST    ,2021-11-05,619-637 YONGE ST & 1-9 ISABELLA ST,,,
21 234490 STE 13 OZ,627 YONGE ST    ,2021-11-05,619-637 YONGE ST & 1-9 ISABELLA ST,,,
21 234490 STE 13 OZ,629 YONGE ST    ,2021-11-05,619-637 YONGE ST & 1-9 ISABELLA ST,,,
21 234490 STE 13 OZ,631 YONGE ST    ,2021-11-05,619-637 YONGE ST & 1-9 ISABELLA ST,,,
21 234490 STE 13 OZ,633 YONGE ST    ,2021-11-05,619-637 YONGE ST & 1-9 ISABELLA ST,,,
21 234490 STE 13 OZ,635 YONGE ST    ,2021-11-05,619-637 YONGE ST & 1-9 ISABELLA ST,,,
21 234490 STE 13 OZ,637 YONGE ST    ,2021-11-05,619-637 YONGE ST & 1-9 ISABELLA ST,,,
21 234490 STE 13 OZ,7 ISABELLA ST    ,2021-11-05,619-637 YONGE ST & 1-9 ISABELLA ST,,,
21 232980 STE 12 OZ,5 RAGLAN AVE    ,2021-11-01,5-15 RAGLAN AVE,,,
21 232980 STE 12 OZ,7 RAGLAN AVE    ,2021-11-01,5-15 RAGLAN AVE,,,
21 232980 STE 12 OZ,9 RAGLAN AVE    ,2021-11-01,5-15 RAGLAN AVE,,,
21 232980 STE 12 OZ,11 RAGLAN AVE    ,2021-11-01,5-15 RAGLAN AVE,,,
21 232980 STE 12 OZ,13 RAGLAN AVE    ,2021-11-01,5-15 RAGLAN AVE,,,
21 232980 STE 12 OZ,15 RAGLAN AVE    ,2021-11-01,5-15 RAGLAN AVE,,,
21 234044 STE 11 OZ,69 YORKVILLE AVE    ,2021-11-04,69 YORKVILLE AVE,,,
21 235167 STE 13 OZ,10 HUNTLEY ST    ,2021-11-07,10 HUNTLEY ST,,,
21 235108 STE 13 OZ,225 QUEEN ST E  ,2021-11-07,"225-229 QUEEN STREET E & 120,122, 124 & 134 SHERBOURNE STREET",,,
21 235108 STE 13 OZ,229 QUEEN ST E  ,2021-11-07,"225-229 QUEEN STREET E & 120,122, 124 & 134 SHERBOURNE STREET",,,
21 235108 STE 13 OZ,122 SHERBOURNE ST    ,2021-11-07,"225-229 QUEEN STREET E & 120,122, 124 & 134 SHERBOURNE STREET",,,
21 235108 STE 13 OZ,120 SHERBOURNE ST    ,2021-11-07,"225-229 QUEEN STREET E & 120,122, 124 & 134 SHERBOURNE STREET",,,
21 235108 STE 13 OZ,227 QUEEN ST E  ,2021-11-07,"225-229 QUEEN STREET E & 120,122, 124 & 134 SHERBOURNE STREET",,,
21 235108 STE 13 OZ,124 SHERBOURNE ST    ,2021-11-07,"225-229 QUEEN STREET E & 120,122, 124 & 134 SHERBOURNE STREET",,,
21 235108 STE 13 OZ,134 SHERBOURNE ST    ,2021-11-07,"225-229 QUEEN STREET E & 120,122, 124 & 134 SHERBOURNE STREET",,,
21 235157 STE 19 OZ,2721 DANFORTH AVE    ,2021-11-07,2721 DANFORTH AVE,,,
21 232793 STE 10 OZ,9 NIAGARA ST    ,2021-11-01,1& 9 NIAGARA ST & 18 PORTLAND ST,,,
21 232793 STE 10 OZ,18 PORTLAND ST    ,2021-11-01,1& 9 NIAGARA ST & 18 PORTLAND ST,,,
21 232793 STE 10 OZ,1 NIAGARA ST    ,2021-11-01,1& 9 NIAGARA ST & 18 PORTLAND ST,,,
21 233780 STE 11 OZ,25 MC MURRICH ST    ,2021-11-03,906 YONGE ST & 25 MC MURRICH ST,,,
21 233780 STE 11 OZ,906 YONGE ST    ,2021-11-03,906 YONGE ST & 25 MC MURRICH ST,,,
21 234418 STE 04 OZ,403 KEELE ST    ,2021-11-04,403 KEELE ST,,,
21 234923 STE 12 OZ,1910 YONGE ST    ,2021-11-05,"1910, 1920, 1944 YONGE ST",,,
