File Number,Address,InDate,Folder Name,QC_Status,Comments,Actions
21 234506 STE 11 OZ,320-326 BLOOR ST W  ,2021-11-05,"320, 328, 332 BLOOR ST W",Not Checked,,
21 235163 STE 13 OZ,410 SHERBOURNE ST    ,2021-11-07,410 SHERBOURNE ST,Not Checked,,
21 234490 STE 13 OZ,619 YONGE ST    ,2021-11-05,619-637 YONGE ST & 1-9 ISABELLA ST,Not Checked,,
21 232980 STE 12 OZ,5 RAGLAN AVE    ,2021-11-01,5-15 RAGLAN AVE,Not Checked,,
21 234044 STE 11 OZ,69 YORKVILLE AVE    ,2021-11-04,69 YORKVILLE AVE,Not Checked,,
21 235167 STE 13 OZ,10 HUNTLEY ST    ,2021-11-07,10 HUNTLEY ST,Not Checked,,
21 235108 STE 13 OZ,225 QUEEN ST E  ,2021-11-07,"225-229 QUEEN STREET E & 120,122, 124 & 134 SHERBOURNE STREET",Not Checked,,
21 235157 STE 19 OZ,2721 DANFORTH AVE    ,2021-11-07,2721 DANFORTH AVE,Not Checked,,
21 232793 STE 10 OZ,9 NIAGARA ST    ,2021-11-01,1& 9 NIAGARA ST & 18 PORTLAND ST,Not Checked,,
21 233780 STE 11 OZ,25 MC MURRICH ST    ,2021-11-03,906 YONGE ST & 25 MC MURRICH ST,Not Checked,,
21 234418 STE 04 OZ,403 KEELE ST    ,2021-11-04,403 KEELE ST,Not Checked,,
21 234923 STE 12 OZ,1910 YONGE ST    ,2021-11-05,"1910, 1920, 1944 YONGE ST",Not Checked,,
21 233897 STE 12 OZ,50 MERTON ST    ,2021-11-03,50-64 MERTON ST,Not Checked,,
21 234917 STE 12 OZ,289 BALLIOL ST    ,2021-11-05,289-299 BALLIOL ST,Not Checked,,
21 235939 STE 11 OZ,32 SCOLLARD ST    ,2021-11-09,32 SCOLLARD ST,Not Checked,,
21 235947 STE 10 OZ,47 CAMDEN ST    ,2021-11-09,39-47 CAMDEN ST,Not Checked,,
21 235446 STE 13 OZ,49 YONGE ST    ,2021-11-08,49-51 YONGE ST,Not Checked,,
21 235352 STE 12 OZ,2042 YONGE ST    ,2021-11-08,2010-2050 YONGE ST,Not Checked,,
21 235311 STE 12 OZ,45 BALLIOL ST    ,2021-11-08,"45, 57-93 BALLIOL ST",Not Checked,,
21 235326 STE 11 OZ,595 BAY ST    ,2021-11-08,595 BAY ST,Not Checked,,
21 235888 STE 12 OZ,2323 YONGE ST    ,2021-11-09,2323-2329 YONGE ST & 2345 YONGE ST,Not Checked,,
21 237249 STE 10 OZ,778 KING ST W  ,2021-11-12,778-788 KING ST W,Not Checked,,
21 235932 STE 13 OZ,60 BERKELEY ST    ,2021-11-09,296-300 KING ST E & 56-60 BERKELEY ST,Not Checked,,
21 235897 STE 13 OZ,562 CHURCH ST    ,2021-11-09,66 WELLESLEY ST E & 552-570 CHURCH ST--CLOSE FOLDER,Not Checked,,
21 235872 STE 09 OZ,2 UNION ST    ,2021-11-09,2 UNION ST,Not Checked,,
21 235841 STE 12 OZ,645 NORTHCLIFFE BLVD    ,2021-11-09,645-655 NORTHCLIFFE BLVD,Not Checked,,
21 235796 STE 13 OZ,529 RICHMOND ST E  ,2021-11-09,130-134 PARLIAMENT ST & 529 RICHMOND ST E,Not Checked,,
21 239174 STE 12 OZ,1210 YONGE ST    ,2021-11-18,"1196-1210 YONGE ST, 2-8 BIRCH AVE",Not Checked,,
21 239751 STE 12 OZ,569 CHRISTIE ST    ,2021-11-19,569-573 CHRISTIE ST,Not Checked,,
21 242233 STE 09 OZ,181 STERLING RD    ,2021-11-26,181 STERLING RD,Not Checked,,
21 240866 STE 13 OZ,550 ADELAIDE ST E  ,2021-11-23,550 ADELAIDE ST E,Not Checked,,
21 242724 STE 12 OZ,2039 YONGE ST    ,11-29-2021,2039-2049 YONGE ST & 40-50 TULLIS DR,Not Checked,,
21 244793 STE 10 OZ,100 QUEEN ST  W  ,12-03-2021,100 QUEEN ST W,Not Checked,,
21 247109 STE 04 OZ,3239 DUNDAS ST W  ,2021-12-10,3239-3251 DUNDAS ST W,Not Checked,,
21 252450 STE 11 OZ,25 DAVENPORT RD    ,2021-12-31,"22-32 SCOLLARD ST, 21-25 DAVENPORT RD",Not Checked,,
21 251414 STE 13 OZ,15 CHARLES ST E  ,2021-12-24,15 CHARLES ST E & 16 ISABELLA ST,Not Checked,,
21 251886 STE 11 OZ,1233 YONGE ST    ,2021-12-29,1233 YONGE ST & 9 WOODLAWN AVE E,Not Checked,,
21 251348 STE 14 OZ,415 BROADVIEW AVE    ,2021-12-24,415 BROADVIEW AVE,Not Checked,,
21 251437 STE 10 OZ,111 STRACHAN AVE    ,2021-12-24,109-127 STRACHAN AVE,Not Checked,,
21 252006 STE 13 OZ,415 YONGE ST    ,2021-12-29,415 YONGE ST,Not Checked,,
21 251957 STE 10 OZ,45 THE ESPLANADE     ,2021-12-29,45 THE ESPLANADE,Not Checked,,
