IBMS Reports,,,,,,,,
All Applications Received - Extract,,,,,,,,
Selected District: ALL,,,,,,,,
Selected Folder Type: OZ,,,,,,,,
Selected Folder Status: ALL,,,,,,,,
Selected Period: 02/21/2022 To 02/27/2022,,,,,,,,
District,Application Type,File Number,Address,InDate,Status,Folder Description,Folder Name,ARoll
Toronto and East York District,OPA / Rezoning,22 117049 STE 13 OZ,295 GEORGE ST    ,02/24/2022,Application Received,"Official Plan & Zoning By-law Amendment to facilitate the redevelopment of the site for a new institutional building having a height of 57-metres, and a non-residential gross floor area of 53,00 square metres.",295-349 GEORGE ST,1904066360011000000
Toronto and East York District,OPA / Rezoning,22 117049 STE 13 OZ,297 GEORGE ST    ,02/24/2022,Application Received,"Official Plan & Zoning By-law Amendment to facilitate the redevelopment of the site for a new institutional building having a height of 57-metres, and a non-residential gross floor area of 53,00 square metres.",295-349 GEORGE ST,1904066360012000000
Toronto and East York District,OPA / Rezoning,22 117049 STE 13 OZ,299 GEORGE ST    ,02/24/2022,Application Received,"Official Plan & Zoning By-law Amendment to facilitate the redevelopment of the site for a new institutional building having a height of 57-metres, and a non-residential gross floor area of 53,00 square metres.",295-349 GEORGE ST,1904066360014000000
Toronto and East York District,OPA / Rezoning,22 117049 STE 13 OZ,301 A GEORGE ST    ,02/24/2022,Application Received,"Official Plan & Zoning By-law Amendment to facilitate the redevelopment of the site for a new institutional building having a height of 57-metres, and a non-residential gross floor area of 53,00 square metres.",295-349 GEORGE ST,1904066360015000000
Toronto and East York District,OPA / Rezoning,22 117049 STE 13 OZ,303 GEORGE ST    ,02/24/2022,Application Received,"Official Plan & Zoning By-law Amendment to facilitate the redevelopment of the site for a new institutional building having a height of 57-metres, and a non-residential gross floor area of 53,00 square metres.",295-349 GEORGE ST,1904066360016000000
Toronto and East York District,OPA / Rezoning,22 117049 STE 13 OZ,305 GEORGE ST    ,02/24/2022,Application Received,"Official Plan & Zoning By-law Amendment to facilitate the redevelopment of the site for a new institutional building having a height of 57-metres, and a non-residential gross floor area of 53,00 square metres.",295-349 GEORGE ST,1904066360018000000
Toronto and East York District,OPA / Rezoning,22 117049 STE 13 OZ,309 GEORGE ST    ,02/24/2022,Application Received,"Official Plan & Zoning By-law Amendment to facilitate the redevelopment of the site for a new institutional building having a height of 57-metres, and a non-residential gross floor area of 53,00 square metres.",295-349 GEORGE ST,1904066360019000000
Toronto and East York District,OPA / Rezoning,22 117049 STE 13 OZ,311 GEORGE ST    ,02/24/2022,Application Received,"Official Plan & Zoning By-law Amendment to facilitate the redevelopment of the site for a new institutional building having a height of 57-metres, and a non-residential gross floor area of 53,00 square metres.",295-349 GEORGE ST,1904066360020000000
Toronto and East York District,OPA / Rezoning,22 117049 STE 13 OZ,315 GEORGE ST    ,02/24/2022,Application Received,"Official Plan & Zoning By-law Amendment to facilitate the redevelopment of the site for a new institutional building having a height of 57-metres, and a non-residential gross floor area of 53,00 square metres.",295-349 GEORGE ST,1904
Toronto and East York District,OPA / Rezoning,22 117049 STE 13 OZ,339 GEORGE ST    ,02/24/2022,Application Received,"Official Plan & Zoning By-law Amendment to facilitate the redevelopment of the site for a new institutional building having a height of 57-metres, and a non-residential gross floor area of 53,00 square metres.",295-349 GEORGE ST,1904
Toronto and East York District,OPA / Rezoning,22 117049 STE 13 OZ,345 GEORGE ST    ,02/24/2022,Application Received,"Official Plan & Zoning By-law Amendment to facilitate the redevelopment of the site for a new institutional building having a height of 57-metres, and a non-residential gross floor area of 53,00 square metres.",295-349 GEORGE ST,1904
Etobicoke York District,OPA / Rezoning,22 116509 WET 07 OZ,1 YORK GATE BLVD    ,02/23/2022,Application Received,,1 YORK GATE BLVD,1908013270002500000
