IBMS Reports,,,,,,,,
All Applications Received - Extract,,,,,,,,
Selected District: ALL,,,,,,,,
Selected Folder Type: OZ,,,,,,,,
Selected Folder Status: ALL,,,,,,,,
Selected Period: 12/20/2021 To 01/02/2022,,,,,,,,
District,Application Type,File Number,Address,InDate,Status,Folder Description,Folder Name,ARoll
North York District,OPA / Rezoning,21 252446 NNY 06 OZ,2 CHAMPAGNE DR    ,2021-12-31,Application Received,,2 CHAMPAGNE DR,1908033430003000000
Toronto and East York District,OPA / Rezoning,21 252450 STE 11 OZ,25 DAVENPORT RD    ,2021-12-31,Application Received,"Zoning By-law Amendment application to facilitate the redevelopment of the site for a 61-storey mixed-use building having a non-residential gross floor area of 8642 square metres, and a residential gross floor area of 10,534 square metres.  79 residential dwelling units are proposed.","22-32 SCOLLARD ST, 21-25 DAVENPORT RD",1904052310010000000
Toronto and East York District,OPA / Rezoning,21 252450 STE 11 OZ,22 SCOLLARD ST    ,2021-12-31,Application Received,"Zoning By-law Amendment application to facilitate the redevelopment of the site for a 61-storey mixed-use building having a non-residential gross floor area of 8642 square metres, and a residential gross floor area of 10,534 square metres.  79 residential dwelling units are proposed.","22-32 SCOLLARD ST, 21-25 DAVENPORT RD",1904052310016000000
Toronto and East York District,OPA / Rezoning,21 252450 STE 11 OZ,24 SCOLLARD ST    ,2021-12-31,Application Received,"Zoning By-law Amendment application to facilitate the redevelopment of the site for a 61-storey mixed-use building having a non-residential gross floor area of 8642 square metres, and a residential gross floor area of 10,534 square metres.  79 residential dwelling units are proposed.","22-32 SCOLLARD ST, 21-25 DAVENPORT RD",1904052310017000000
Toronto and East York District,OPA / Rezoning,21 252450 STE 11 OZ,26 SCOLLARD ST    ,2021-12-31,Application Received,"Zoning By-law Amendment application to facilitate the redevelopment of the site for a 61-storey mixed-use building having a non-residential gross floor area of 8642 square metres, and a residential gross floor area of 10,534 square metres.  79 residential dwelling units are proposed.","22-32 SCOLLARD ST, 21-25 DAVENPORT RD",1904052310018000000
Toronto and East York District,OPA / Rezoning,21 252450 STE 11 OZ,28 SCOLLARD ST    ,2021-12-31,Application Received,"Zoning By-law Amendment application to facilitate the redevelopment of the site for a 61-storey mixed-use building having a non-residential gross floor area of 8642 square metres, and a residential gross floor area of 10,534 square metres.  79 residential dwelling units are proposed.","22-32 SCOLLARD ST, 21-25 DAVENPORT RD",1904052310019000000
Toronto and East York District,OPA / Rezoning,21 252450 STE 11 OZ,30 SCOLLARD ST    ,2021-12-31,Application Received,"Zoning By-law Amendment application to facilitate the redevelopment of the site for a 61-storey mixed-use building having a non-residential gross floor area of 8642 square metres, and a residential gross floor area of 10,534 square metres.  79 residential dwelling units are proposed.","22-32 SCOLLARD ST, 21-25 DAVENPORT RD",1904052310020000000
Toronto and East York District,OPA / Rezoning,21 252450 STE 11 OZ,32 SCOLLARD ST    ,2021-12-31,Application Received,"Zoning By-law Amendment application to facilitate the redevelopment of the site for a 61-storey mixed-use building having a non-residential gross floor area of 8642 square metres, and a residential gross floor area of 10,534 square metres.  79 residential dwelling units are proposed.","22-32 SCOLLARD ST, 21-25 DAVENPORT RD",1904052310021000000
Toronto and East York District,OPA / Rezoning,21 252450 STE 11 OZ,21 DAVENPORT RD    ,2021-12-31,Application Received,"Zoning By-law Amendment application to facilitate the redevelopment of the site for a 61-storey mixed-use building having a non-residential gross floor area of 8642 square metres, and a residential gross floor area of 10,534 square metres.  79 residential dwelling units are proposed.","22-32 SCOLLARD ST, 21-25 DAVENPORT RD",1904
North York District,OPA / Rezoning,21 251207 NNY 15 OZ,133 ERSKINE AVE    ,2021-12-23,Under Review ,"Zoning By-law Amendment Application for an 31-storey residential building containing 296 new residential dwelling units, including 26 rental replacement units.  The proposed residential gross floor area is 22,242 square metres.",133-141 ERSKINE AVE,1904104200010000000
North York District,OPA / Rezoning,21 251207 NNY 15 OZ,141 ERSKINE AVE    ,2021-12-23,Under Review ,"Zoning By-law Amendment Application for an 31-storey residential building containing 296 new residential dwelling units, including 26 rental replacement units.  The proposed residential gross floor area is 22,242 square metres.",133-141 ERSKINE AVE,1904104200011000000
North York District,OPA / Rezoning,21 251397 NNY 16 OZ,3 SWIFT DR    ,2021-12-24,Under Review ,"Zoning By-law Amendment Application for a 39 and 28-storey residential building having a gross floor area of 58,686 square metres.  824 residential units are proposed, of which, 61 are rental replacement units.",3 SWIFT DR,1908121220001000000
North York District,OPA / Rezoning,21 251380 NNY 18 OZ,307 SHEPPARD AVE W  ,2021-12-24,Application Received,"Official Plan and Zoning by-law Amendment application for a 9-storey mixed-use building having a non-residential gross floor area of 140 square metres, and a residential gross floor area of 2839 square metres.  33 residential dwelling units are proposed.",307 SHEPPARD AVE W,1908071010004000000
Toronto and East York District,OPA / Rezoning,21 251414 STE 13 OZ,15 CHARLES ST E  ,2021-12-24,Under Review ,"Zoning By-law amendment application for a 54-storey mixed-use building having a non-residential gross floor area of 146 square metres and a residential gross floor area of 35,479 square metres.  549 residential dwelling units are proposed.",15 CHARLES ST E & 16 ISABELLA ST,1904068460013000000
Toronto and East York District,OPA / Rezoning,21 251414 STE 13 OZ,16 ISABELLA ST    ,2021-12-24,Under Review ,"Zoning By-law amendment application for a 54-storey mixed-use building having a non-residential gross floor area of 146 square metres and a residential gross floor area of 35,479 square metres.  549 residential dwelling units are proposed.",15 CHARLES ST E & 16 ISABELLA ST,1904068460040000000
Toronto and East York District,OPA / Rezoning,21 251886 STE 11 OZ,1233 YONGE ST    ,2021-12-29,Under Review ,"Official Plan and Zoning By-law Amendment application to facilitate the redevelopment of the site for a 13-storey mixed-use building having a non-residential gross floor area of 433 square metres and a residential gross floor area of 10,815 square metres.  110 residential dwelling units are proposed, of which, 40 are rental replacement units.",1233 YONGE ST & 9 WOODLAWN AVE E,1904102030028000000
Toronto and East York District,OPA / Rezoning,21 251886 STE 11 OZ,9 WOODLAWN AVE E  ,2021-12-29,Under Review ,"Official Plan and Zoning By-law Amendment application to facilitate the redevelopment of the site for a 13-storey mixed-use building having a non-residential gross floor area of 433 square metres and a residential gross floor area of 10,815 square metres.  110 residential dwelling units are proposed, of which, 40 are rental replacement units.",1233 YONGE ST & 9 WOODLAWN AVE E,1904102030029000000
Toronto and East York District,OPA / Rezoning,21 251348 STE 14 OZ,415 BROADVIEW AVE    ,2021-12-24,Application Received,,415 BROADVIEW AVE,1904075050001000000
Etobicoke York District,OPA / Rezoning,21 251925 WET 07 OZ,470 SENTINEL RD    ,2021-12-29,Application Received,,470 SENTINEL RD & 1-40 FOUNTAINHEAD RD,1908033331001000000
Etobicoke York District,OPA / Rezoning,21 251925 WET 07 OZ,40 FOUNTAINHEAD RD    ,2021-12-29,Application Received,,470 SENTINEL RD & 1-40 FOUNTAINHEAD RD,1908033331002000000
