X,Y,Status,Address,ByLaw,Details,StatusCode
,,Part IV,321 BLOOR ST E,107-89,SEE 333 Bloor Street East,1102
,,Part V,281 QUEEN ST W,979-2007,"Part of the Queen Street West Heritage Conservation District.  Adopted by City Council on Sept. 27, 2007.",1103
,,Part V,279 QUEEN ST W,979-2007,"Part of the Queen Street West Heritage Conservation District.  Adopted by City Council Sept 27, 2007.",1103
,,Part IV,226 KING ST E,897-98,"Imperial Bank, 1908, Darling & Pearson -adopted by City Council on Nov. 21 & 23, 1973 -Designation by-law passed by City Council on December 17, 1998 -Heritage Easement Agreement registered as Instrument No. CA578241 on December 17, 1998",1102
,,Part IV,60 QUEEN ST W,332-86,"Old (third) City Hall; 1889-99, E.J. Lennox; altered 1926, E.J. Lennox; murals by George A. Reid; stained glass by Robert McCausland; frieze carved by Holbrook & Mollington -adopted by City Council on June 20, 1973 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on May 5, 1986",1102
,,Listed,837 YONGE ST ,,"Canadian Tire Store, formerly Grand Central Markets; 1929, Frontier Construction, bldr. -adopted by City Council on Feb. 24, 1986",1101
,,Part IV,155 DALHOUSIE ST ,218-97,"Robert Simpson Co. Ltd. Warehouse, 1910, Simpson's staff; large addition in 1916, Max Dunning and Burke, Horwood & White Associates, Architects; addition, 1930, Simpson's staff and Frank S. Corley, now known as Sears Canada Inc.,  previous address known a",1102
,,Part IV,155 DALHOUSIE ST ,218-97,"Robert Simpson Co. Ltd. Warehouse, 1910, Simpson's staff; large addition in 1916, Max Dunning and Burke, Horwood & White Associates, Architects; addition, 1930, Simpson's staff and Frank S. Corley, now known as Sears Canada Inc.,  previous address known a",1102
,,Part IV,0 EAST LIBERTY ST ,378-96,"Remnants of Central Prison, formerly known as 20 Strachan Av., addition 1877, Roman Catholic Chapel, attributed to Kivas Tully -adopted by City Council on Jan. 28 & Feb. 1, 1985 -DESIGNATION BY-LAW PASSED BY CITY COUNCIL ON August 12 & 13, 1996 (heritage ",1102
,,Part IV,0 EAST LIBERTY ST ,378-96,"Remnants of Central Prison, formerly known as 20 Strachan Av., addition 1877, Roman Catholic Chapel, attributed to Kivas Tully -adopted by City Council on Jan. 28 & Feb. 1, 1985 -DESIGNATION BY-LAW PASSED BY CITY COUNCIL ON August 12 & 13, 1996 (heritage ",1102
