X,Y,Status,Address,ByLaw,Details,StatusCode
327117.2044,4845918.216,Part IV,20 X STEVENWOOD RD,24544,"Secor Cairn; DESIGNATION BY-LAW PASSED BY SCARBOROUGH CITY COUNCIL on June 29, 1995",1102
324201.9423,4854767.545,Part IV,5933 STEELES AVE E,107-2007,"Underwood House, c.1891; DESIGNATION BY-LAW ENACTED BY CITY COUNCIL on February 6, 2007",1102
324281.002,4854795.941,Part IV,5951 STEELES AVE E,904-2006,"William Stonehouse house, DESIGNATION BY-LAW ENACTED BY CITY COUNCIL on Sept. 25, 26, 27, 2006",1102
327578.328,4855827.14,Listed,6545 STEELES AVE E, ,Hamill House,1101
328286.787,4856020.69,Part IV,6601 STEELES AVE E,90-2002,"Clark-Reesor House; previously known as 6741; DESIGNATION BY-LAW PASSED BY CITY COUNCIL on Feb. 15, 2002",1102
330827.482,4856886.432,Part IV,8327 STEELES AVE E,22934,"Christain Reesor House; DESIGNATION BY-LAW PASSED BY SCARBOROUGH CITY COUNCIL on April 23, 1990",1102
313591.3694,4836238.36,Listed,104 CHARLES ST W, ,"House; 1891-1892 -adopted by City Council on June 20, 1973",1101
310756.3125,4833725.211,Listed,74 A BEACONSFIELD AVE, ,"Part of a semi-detached house; 1881-1882 -adopted by City Council on Sept. 29, 30 and Oct. 4, 1976",1101
310760.084,4833712.465,Listed,74 B BEACONSFIELD AVE, ,"Part of a semi-detached house; 1881-1882, adopted by City Council on Sept 29, 30 & Oct 4, 1976",1101
314238.429,4850395.912,Listed,42 BEARDMORE CRES, ,"Jacob Cummer House, circa 1850",1101
313581.413,4836427.053,Listed,10 BELLAIR ST, ,SEE 86 Bloor St. West,1101
313541.55,4836543.443,Listed,26 BELLAIR ST, ,"Formerly known as 81 Yorkville Avenue - 1/2 of a semi-detached house, c.1850 -adopted by City Council on Feb. 5, 1975",1101
304164.5938,4847936.506,Listed,YORK UNIVESITY, ,"The following 14 buildings or building complexes on York University's Keele Campus were adopted by City Council On Nov. 30 & Dec. 1, 2, 4, and 7, 2009.  

Winter's College (1967), Staecie Science Library (1966), Scott Library (1970), Ross Building (197",1101
312188.474,4836665.766,Listed,51 KENDAL AVE, ,"House, 1905, J. Singer -adopted by City Council on July 2, 1974",1101
312128.471,4836716.63,Listed,68 KENDAL AVE, ,"Audley Court Apartments, 1912, J. Hunt Stanford -adopted by City Council on May 30, 1983",1101
331323.193,4854807.708,Listed,11 BEARE RD, ,John Beare House,1101
319404.2137,4845376.935,Part IV,5 AVONWICK GT,221-2009,"Maryvale Farm, now Senator Frank O'Connor House, Garage and Outbuilding , 1932-1933.  Designation By-law enacted by City Council on February 25, 2009.  Also known as 60 Rowena Drive.",1102
314370.4816,4834266.658,Part IV,336 BAY ST,664-80,"Savarin Tavern; 1929, N.A. Armstrong, DEMOLISHED 1980, facade erected in interior courtyard, Now merged into 330 BAY ST. -adopted by City Council on Aug. 18, 1980, DESIGNATION BY-LAW PASSED BY CITY COUNCIL on August 18, 1980 (heritage easement agreement,",1102
314515.7071,4834279.075,Listed,16 ADELAIDE ST W, ,SEE 17 Temperance Street. This is part of the Bay Adelaide project,1101
312912.832,4836152.953,Part IV,321 BLOOR ST E,107-89,SEE 333 Bloor Street East,1102
314947.311,4836679.887,Part IV,525 BLOOR ST E,767-77,"St. Simon's Church; 1888, Strickland & Symons (was known as 40 Howard Street) -adopted by City Council on Feb. 6, 1974 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on Dec. 5, 1977",1102
313581.274,4836427.091,Listed,86 BLOOR ST W, ,"Physicians & Surgeons Building; 1922 - now known as 10 Bellair St - adopted by City Council on May 6 & 7, 1982 (amending heritage easement agreements Registered as Instrements No. CA628606 and CA628607 on September 30, 1999)",1101
313590.5481,4836371.657,Listed,95 A BLOOR ST W, ,"Georg Jensen Store; Rother, Bland, Trudeau; remodelled 1956; adopted by City Council April 14, 15, 16, 2003",1101
316860.642,4836080.048,Listed,53 SIMPSON AVE, , ,1101
324778.077,4846493.456,Part IV,55 ST ANDREWS RD,21031,"St. Andrew Sexton's House; DESIGNATION BY-LAW PASSED BY SCARBOROUGH CITY COUNCIL on Feb. 11, 1985",1102
313637.701,4835883.544,Part IV,121 ST JOSEPH ST,3-84,SEE 43 Queen's Park Crescent East,1102
313653.5499,4836301.022,Part IV,1 C SULTAN ST,169-2003,"House -adopted by City Council on June 20, 1973; DESIGNATION BY-LAW ENACTED BY CITY COUNCIL on Feb. 28, 2003; Heritage Easement Agreement AT48388, registered on Nov 29, 2002",1102
313640.694,4836299.187,Part IV,3 SULTAN ST,171-2003,"Part of semi-detached House; 1887, C.R. Rundle -adopted by City Council on June 20, 1973; DESIGNATION BY-LAW ENACTED BY CITY COUNCIL on Feb. 28, 2003; Heritage Easement Agreement AT48389, registered on Nov 29, 2002",1102
315623.33,4840698.012,Listed,322 SUTHERLAND DR, , ,1101
310937.863,4832297.15,Listed,15 SASKATCHEWAN RD, ,Exhibition Place; Horticultural Building - See 2 Strachan Avenue,1101
314016.956,4833877.287,Part IV,73 SIMCOE ST,495-81,"St. Andrew's Manse; 1873, Robert Grant; alt. 1894, D.B. Dick, -adopted by City Council on Nov. 12, 1979 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on August 10, 1981 (heritage easement agreement, Registered CT486292, July 3/81)",1102
327641.001,4845799.116,Listed,450 SCARBOROUGH GOLF CLUB RD, ,Jackson House,1101
314441.387,4834340.419,Part IV,40 TEMPERANCE ST,588-88   375-96,"SEE 17 Temperance Street. This is part of the Bay Adelaide prject -Repealing Designation By-Law Passed by City Council on August 12, 1996",1102
313353.991,4836295.934,Part IV,153 BLOOR ST W,84-76,"Lillian Massey Building; 1908-12, G.M. Miller -adopted by City Council on June 20, 1973 DESIGNATION BY- LAW PASSED BY CITY COUNCIL on March 17, 1976 (designation plaque - 1981) (heritage easeemnt agreement registered as Instrument No. CA534066 on April 1",1102
331098.397,4855157.234,Listed,19 BEARE RD, ,Sidney Beare House,1101
312854.8818,4836743.872,Listed,59 R ADMIRAL RD, ,"Coachhouse for R. Bongard (formerly 59 Admiral Rd), adopted by City Council on July 2, 1974",1101
313634.7231,4836719.802,Listed,54 A SCOLLARD ST, ,"House -adopted by City Council on March 15, 1974",1101
313582.49,4836265.266,Part IV,6 ST THOMAS ST,243-2006    354-2006  1401-2007,"University Apartments; 1927, S.B. Coon, -adopted by City Council on June 20, 1973; Designation By-law enacted by City Council on April 27, 2006, Repealing by-law enacted by City Council on May 25, 2006.  Designation By-law enacted by City Council Decembe",1102
