PRSN,ADDRESS,Dataset Origin
725735,880 WARDEN AVE ,IBMS Data
719298,303 SOUDAN AVE ,IBMS Data
745916,32 SPRUCE CRT ,IBMS Data
745917,16 SPRUCE CRT ,IBMS Data
745918,17 SPRUCE CRT ,IBMS Data
745919,1 SPRUCE CRT ,IBMS Data
746279,44 WYCHWOOD PK ,IBMS Data
737948,1 SNOOKER ST ,IBMS Data
746290,444 YONGE ST ,Both Datasets
746291,26 GERRARD ST W,IBMS Data
746292,12 GERRARD ST W,IBMS Data
746293,11 COLLEGE ST ,IBMS Data
746294,7 COLLEGE ST ,IBMS Data
746295,5 COLLEGE ST ,IBMS Data
746296,23 COLLEGE ST ,IBMS Data
746297,21 COLLEGE ST ,IBMS Data
746298,19 COLLEGE ST ,IBMS Data
746299,17 COLLEGE ST ,IBMS Data
746300,420 YONGE ST ,IBMS Data
736688,296 MACPHERSON AVE ,IBMS Data
736698,40 ADELAIDE ST W,Both Datasets
736711,463 KING ST W,IBMS Data
736712,340 KING ST E,IBMS Data
736713,55 SIMCOE ST ,IBMS Data
736776,17 BROADWAY AVE ,Both Datasets
736778,132 YONGE ST ,IBMS Data
742346,80 BELL ESTATE RD ,Both Datasets
739322,35 POPLAR PLAINS RD ,IBMS Data
739329,40 RATHNELLY AVE ,IBMS Data
739999,63 MADISON AVE ,Both Datasets
740742,701 DOVERCOURT RD ,Both Datasets
740743,703 DOVERCOURT RD ,IBMS Data
722578,535 LAKESHORE AVE ,IBMS Data
218262,15 SHUTER ST ,Both Datasets
715473,170 C ROXBOROUGH ST E,IBMS Data
229637,321 BLOOR ST E,Both Datasets
715070,15 ST JOSEPH ST ,IBMS Data
720460,37 C ELM AVE ,Both Datasets
739638,264 B ADELAIDE ST E,IBMS Data
739637,264 ADELAIDE ST E,IBMS Data
724915,76 CRESCENT RD ,IBMS Data
719297,303 MUTUAL ST ,IBMS Data
726453,98 STRACHAN AVE ,IBMS Data
741868,5951 STEELES AVE E,Both Datasets
742385,137 SPRUCE ST ,IBMS Data
210329,281 QUEEN ST W,Both Datasets
210330,279 QUEEN ST W,Both Datasets
232236,226 KING ST E,Both Datasets
739629,252 ADELAIDE ST E,Both Datasets
739630,256 ADELAIDE ST E,IBMS Data
739631,260 ADELAIDE ST E,IBMS Data
739632,99 GEORGE ST ,IBMS Data
739633,97 GEORGE ST ,IBMS Data
739634,258 ADELAIDE ST E,IBMS Data
723492,60 AVENUE OF THE ISLANDS  ,IBMS Data
724805,750 LAKESHORE AVE ,IBMS Data
722846,55 AVENUE OF THE ISLANDS  ,IBMS Data
720646,397 QUEEN ST W,IBMS Data
724558,71 AVENUE OF THE ISLANDS  ,IBMS Data
713082,11 AVENUE OF THE ISLANDS  ,IBMS Data
715408,16 AVENUE OF THE ISLANDS  ,IBMS Data
717247,227 QUEEN ST E,IBMS Data
719617,323 DUNDAS ST E,IBMS Data
725488,83 BEECH AVE ,IBMS Data
724000,65 SHUTER ST ,IBMS Data
218284,60 QUEEN ST W,IBMS Data
709407,207 EASTERN AVE ,IBMS Data
715573,1751 LAKE SHORE BLVD W,Both Datasets
710245,909 LAKE SHORE BLVD W,IBMS Data
745570,75 A QUEEN'S PARK  ,IBMS Data
745572,95 CHARLES ST W,IBMS Data
745573,91 CHARLES ST W,Both Datasets
644455,23 EARL ST ,IBMS Data
213406,229 QUEEN ST E,Both Datasets
742383,701 FLEET ST ,Both Datasets
742384,1 STRACHAN AVE ,Both Datasets
272171,837 YONGE ST ,Both Datasets
746301,400 YONGE ST ,IBMS Data
738088,277 YONGE ST ,Both Datasets
738089,275 YONGE ST ,Both Datasets
742133,92 THE POND RD ,IBMS Data
