   ,PROPX,PROPY,PROPERTYROLL,STATUSCODE,status,PRSN,ADDRESS,bylaw,details,P4_DATE,P5_DATE,LIST_DATE,BYLAW_P4,BYLAW_P5,HERT_CONSERV_DISTRICT,INTENT_DATE,CONTRIBUTING
1,321817.604,4842999.356,1901,1101,Listed,725735,880 WARDEN AVE ,,Volkswagen Building,,,27-Sep-06,,,,,NA
2,313735.561,4840460.634,1904,1101,Listed,719298,303 SOUDAN AVE ,,"Included on the Heritage Register by City Council on October 2, 2017.  
Midtown in Focus - Phase 1

",,,02-Oct-17,,,,,
3,315854.175,4835848.262,1904,1103,Part V,745916,32 SPRUCE CRT ,887-2005,"Spruce Court Apts.; 1913, Eden Smith; 1926, Mathers & Haldenby; & 1-60 Gildersleeve Pl. at Sumach St. -adopted by City Council on June 20, 1973, Part of the Cabbagetown South Heritage Conservation District, enacted by City Council on October 28, 2005",,28-Oct-05,20-Jun-73,,887-2005,Cabbagetown South,,
4,315828.615,4835880.617,1904,1103,Part V,745917,16 SPRUCE CRT ,887-2005,"Spruce Court Apts.; 1913, Eden Smith; 1926, Mathers & Haldenby; & 1-60 Gildersleeve Pl. at Sumach St. -adopted by City Council on June 20, 1973, Part of the Cabbagetown South Heritage Conservation District, enacted by City Council on October 28, 2005",,28-Oct-05,20-Jun-73,,887-2005,Cabbagetown South,,
5,315834.968,4835882.242,1904,1103,Part V,745918,17 SPRUCE CRT ,887-2005,"Spruce Court Apts.; 1913, Eden Smith; 1926, Mathers & Haldenby; & 1-60 Gildersleeve Pl. at Sumach St. -adopted by City Council on June 20, 1973, Part of the Cabbagetown South Heritage Conservation District, enacted by City Council on October 28, 2005",,28-Oct-05,20-Jun-73,,887-2005,Cabbagetown South,,
6,315831.423,4835841.317,1904,1103,Part V,745919,1 SPRUCE CRT ,887-2005,"Spruce Court Apts.; 1913, Eden Smith; 1926, Mathers & Haldenby; & 1-60 Gildersleeve Pl. at Sumach St. -adopted by City Council on June 20, 1973, Part of the Cabbagetown South Heritage Conservation District, enacted by City Council on October 28, 2005",,28-Oct-05,20-Jun-73,,887-2005,Cabbagetown South,,
7,311053.313,4837401.912,1.90E+18,1103,Part V,746279,44 WYCHWOOD PK ,421-85,"J.M. Greenwood House; 1918 - Part of the Wychwood Park Heritage Conservation District - BY-LAW PASSED on May 21st, 1985",,21-May-85,,,421-85,Wychwood Park,,
8,311225.668,4833047.078,1904,1102,Part IV,737948,1 SNOOKER ST ,1293-2015,"Brunswick-Balke-Collender Factory, 1913, Henry Simpson Architect; Listing adopted by City Council on June 14,15, 16, 2005.  Council stated its intention to designate April 1, 2015. City Council enacted designation by-law 1293-2015 December 10, 2015.  Heritage Easement Agreement registered as Instrument # AT4095228 on December 15, 2015.

http://www.toronto.ca/legdocs/bylaws/2015/law1293.pdf",10-Dec-15,,16-Jun-05,1293-2015,,,02-Apr-15,NA
9,314217.481,4835379.433,1.90E+18,1102,Part IV,746290,444 YONGE ST ,510-75,"T. Eaton Co. College Street Store, 1928-30, Ross & MacDonald in assoc. with Sproatt & Rolph; Jacques Carlu, architect of 7th floor interior; Rene Cera, architect of Elevator Arcade; shopping concourse and housing addns. in late '70's by Allward & Gouinlock, A.M. Ingleson & Associates, Joseph Bogdan and Webb Zerafa Menkes Housden -adopted by City Council on June 20, 1973 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on November 26, 1975 (designation plaque - 1979).  Heritage Easement Agreement registered on January 10, 2012 as Instrument #:  AT2915699.             ** Please note: 777 Bay St is not a designated property. **",26-Nov-75,,20-Jun-73,510-75,,,,NA
10,314239.371,4835264.159,1904,1102,Part IV,746291,26 GERRARD ST W,510-75,"T. Eaton Co. College Street Store, 1928-30, Ross & MacDonald in assoc. with Sproatt & Rolph; Jacques Carlu, architect of 7th floor interior; Rene Cera, architect of Elevator Arcade; shopping concourse and housing addns. in late '70's by Allward & Gouinlock, A.M. Ingleson & Associates, Joseph Bogdan and Webb Zerafa Menkes Housden -adopted by City Council on June 20, 1973 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on November 26, 1975 (designation plaque - 1979).  Heritage Easement Agreement registered on January 10, 2012 as Instrument #:  AT2915699.             ** Please note: 777 Bay St is not a designated property. **",26-Nov-75,,20-Jun-73,510-75,,,,NA
11,314258.793,4835270.425,1904,1102,Part IV,746292,12 GERRARD ST W,510-75,"T. Eaton Co. College Street Store, 1928-30, Ross & MacDonald in assoc. with Sproatt & Rolph; Jacques Carlu, architect of 7th floor interior; Rene Cera, architect of Elevator Arcade; shopping concourse and housing addns. in late '70's by Allward & Gouinlock, A.M. Ingleson & Associates, Joseph Bogdan and Webb Zerafa Menkes Housden -adopted by City Council on June 20, 1973 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on November 26, 1975 (designation plaque - 1979).  Heritage Easement Agreement registered on January 10, 2012 as Instrument #:  AT2915699.             ** Please note: 777 Bay St is not a designated property. **",26-Nov-75,,20-Jun-73,510-75,,,,NA
12,314172.386,4835462.777,1904,1102,Part IV,746293,11 COLLEGE ST ,510-75,"T. Eaton Co. College Street Store, 1928-30, Ross & MacDonald in assoc. with Sproatt & Rolph; Jacques Carlu, architect of 7th floor interior; Rene Cera, architect of Elevator Arcade; shopping concourse and housing addns. in late '70's by Allward & Gouinlock, A.M. Ingleson & Associates, Joseph Bogdan and Webb Zerafa Menkes Housden -adopted by City Council on June 20, 1973 DESIGNATION BY-LAW PASSED BY CITY COUNCIL on November 26, 1975 (designation plaque - 1979).  Heritage Easement Agreement registered on January 10, 2012 as Instrument #:  AT2915699.             ** Please note: 777 Bay St is not a designated property. **",26-Nov-75,,20-Jun-73,510-75,,,,NA
