Street,String,Other
494 COLLEGE ST ,Blah,Hello
496 COLLEGE ST ,Blah,Hello
500 COLLEGE ST ,Blah,Hello
307 PALMERSTON BLVD ,Blah,Hello
490 COLLEGE ST ,Blah,Hello
492 COLLEGE ST ,Blah,Hello
581 BLOOR ST W,Blah,Hello
31 DUNDONALD ST ,Blah,Hello
33 DUNDONALD ST ,Blah,Hello
35 DUNDONALD ST ,Blah,Hello
37 DUNDONALD ST ,Blah,Hello
146 LAIRD DR ,Blah,Hello
9 MACNAUGHTON RD ,Blah,Hello
51 MUTUAL ST ,Blah,Hello
53 MUTUAL ST ,Blah,Hello
63 MUTUAL ST ,Blah,Hello
65 MUTUAL ST ,Blah,Hello
67 MUTUAL ST ,Blah,Hello
635 QUEEN ST E,Blah,Hello
887 QUEEN ST E,Blah,Hello
81 R WOODLAWN AVE E,Blah,Hello
725 BATHURST ST,Blah,Hello
1130 BATHURST ST,Blah,Hello
1 BLOOR ST W,Blah,Hello
1 BLUE GOOSE ST,Blah,Hello
106 BROADVIEW AVE ,Blah,Hello
537 BROADVIEW AVE ,Blah,Hello
958 BROADVIEW AVE ,Blah,Hello
811-813 BROADVIEW AVE ,Blah,Hello
642 CHURCH ST ,Blah,Hello
68 DAISY AVE,Blah,Hello
1192 DANFORTH AVE ,Blah,Hello
14 DEWHURST BLVD,Blah,Hello
659 DUPONT ST,Blah,Hello
462 EASTERN AVE,Blah,Hello
59 HEATH ST W,Blah,Hello
223 Horsham Ave,Blah,Hello
33-35 KENSINGTON ,Blah,Hello
405 THE KINGSWAY,Blah,Hello
2448 LAKE SHORE BLVD W,Blah,Hello
70 LOWTHER AVE,Blah,Hello
175 MEMORIAL PARK AVE ,Blah,Hello
551 MOUNT PLEASANT RD ,Blah,Hello
675 MOUNT PLEASANT RD ,Blah,Hello
45 OSSINGTON,Blah,Hello
47 OSSINGTON,Blah,Hello
53 OSSINGTON,Blah,Hello
55 OSSINGTON,Blah,Hello
57 OSSINGTON,Blah,Hello
61 OSSINGTON,Blah,Hello
127 OSSINGTON,Blah,Hello
129 OSSINGTON,Blah,Hello
134 OSSINGTON,Blah,Hello
135 OSSINGTON,Blah,Hello
136 OSSINGTON,Blah,Hello
137 OSSINGTON,Blah,Hello
138 OSSINGTON,Blah,Hello
148 OSSINGTON,Blah,Hello
201 OSSINGTON,Blah,Hello
203 OSSINGTON,Blah,Hello
205 OSSINGTON,Blah,Hello
207 OSSINGTON,Blah,Hello
210 OSSINGTON,Blah,Hello
211 OSSINGTON,Blah,Hello
213 OSSINGTON,Blah,Hello
214 OSSINGTON,Blah,Hello
215 OSSINGTON,Blah,Hello
216 OSSINGTON,Blah,Hello
217 OSSINGTON,Blah,Hello
219 OSSINGTON,Blah,Hello
222 OSSINGTON,Blah,Hello
224 OSSINGTON,Blah,Hello
131-133 OSSINGTON,Blah,Hello
199-199A OSSINGTON,Blah,Hello
209A-209 OSSINGTON,Blah,Hello
212-212A OSSINGTON,Blah,Hello
218-218A OSSINGTON,Blah,Hello
220-220A OSSINGTON,Blah,Hello
48-51 OSSINGTON,Blah,Hello
59-59A OSSINGTON,Blah,Hello
877 QUEEN ST E,Blah,Hello
923-925 QUEEN ST E,Blah,Hello
505 RICHMOND STREET W,Blah,Hello
484-486 SPADINA AVE ,Blah,Hello
10 ST. MARY STREET,Blah,Hello
165 Stanley Ave,Blah,Hello
55 SUDBURY ST ,Blah,Hello
150 SYMES RD,Blah,Hello
2 Valleyanna Dr,Blah,Hello
102 WANLESS AVE,Blah,Hello
81 WELLESLEY STREET E,Blah,Hello
72 WELLS HILL AVE,Blah,Hello
155 WYCHWOOD AVE,Blah,Hello
2384 YONGE ST ,Blah,Hello
5800 YONGE ST ,Blah,Hello
925 ALBION RD ,Blah,Hello
26 ALEXANDER ST ,Blah,Hello
74 ALHAMBRA AVE ,Blah,Hello
140 ARGYLE ST ,Blah,Hello
5 AUSTIN TERRACE,Blah,Hello
174 AVENUE RD ,Blah,Hello
14 BALDWIN ST ,Blah,Hello
16 BALDWIN ST ,Blah,Hello
18 BALDWIN ST ,Blah,Hello
40 BALDWIN ST ,Blah,Hello
42 BALDWIN ST ,Blah,Hello
505 BALLIOL ST ,Blah,Hello
1515 BATHURST ST,Blah,Hello
1747 BAYVIEW AVE ,Blah,Hello
1751 BAYVIEW AVE ,Blah,Hello
1755 BAYVIEW AVE ,Blah,Hello
1759 BAYVIEW AVE ,Blah,Hello
1763 BAYVIEW AVE ,Blah,Hello
1767 BAYVIEW AVE ,Blah,Hello
1771 BAYVIEW AVE ,Blah,Hello
1775 BAYVIEW AVE ,Blah,Hello
1779 BAYVIEW AVE ,Blah,Hello
241 BEDFORD RD ,Blah,Hello
40 BELMONT ST,Blah,Hello
42 BELMONT ST,Blah,Hello
46 BELMONT ST,Blah,Hello
48 BELMONT ST,Blah,Hello
181 BEVERLEY ST ,Blah,Hello
183 BEVERLEY ST ,Blah,Hello
185 BEVERLEY ST ,Blah,Hello
199 BEVERLEY ST ,Blah,Hello
201 BEVERLEY ST ,Blah,Hello
203 BEVERLEY ST ,Blah,Hello
60 BIRMINGHAM ST ,Blah,Hello
124 BIRMINGHAM ST ,Blah,Hello
55 BLOOR ST W,Blah,Hello
300 BLOOR ST W,Blah,Hello
