[WORKSTAT], 973, 2023-01-08 17:28:24.084070, FIRST WORKER, &-99-& 
[WORKSTAT], 973, 2023-01-08 17:28:24.084070, TAKING CONTROL, &-99-& 
[WORKSTAT], 973, 2023-01-08 17:28:26.091432, WORKING, &-99-& 
[WORKSTAT], 973, 2023-01-08 17:28:28.092878, WORKING, &-99-& 
[WORKSTAT], 973, 2023-01-08 17:28:30.097670, WORKING, &-99-& 
[WORKSTAT], 973, 2023-01-08 17:28:32.100355, WORKING, &-99-& 
[WORKSTAT], 973, 2023-01-08 17:28:34.111692, WORKING, &-99-& 
[WORKSTAT], 973, 2023-01-08 17:28:36.119531, WORKING, &-99-& 
[WORKSTAT], 973, 2023-01-08 17:28:38.130616, WORKING, &-99-& 
[WORKSTAT], 973, 2023-01-08 17:28:40.142919, WORKING, &-99-& 
[WORKSTAT], 973, 2023-01-08 17:28:42.160257, WORKING, &-99-& 
[WORKSTAT], 973, 2023-01-08 17:28:44.175631, WORKING, &-99-& 
[WORKSTAT], 973, 2023-01-08 17:28:46.186668, WORKING, &-99-& 
[WORKSTAT], 618, 2023-01-08 17:31:47.078057, TAKING CONTROL, &-99-& 
[WORKSTAT], 618, 2023-01-08 17:31:50.093385, WORKING, &-99-& 
[WORKSTAT], 618, 2023-01-08 17:31:53.095688, WORKING, &-99-& 
[WORKSTAT], 618, 2023-01-08 17:31:56.102305, WORKING, &-99-& 
[WORKSTAT], 618, 2023-01-08 17:31:59.104835, WORKING, &-99-& 
[WORKSTAT], 982, 2023-01-08 17:33:49.998553, TAKING CONTROL, &-99-& 
[WORKSTAT], 982, 2023-01-08 17:33:53.004724, WORKING, &-99-& 
[WORKSTAT], 982, 2023-01-08 17:33:56.008993, WORKING, &-99-& 
[WORKSTAT], 982, 2023-01-08 17:33:59.012762, WORKING, &-99-& 
[WORKSTAT], 344, 2023-01-08 17:36:10.561464, TAKING CONTROL, &-99-& 
[WORKSTAT], 344, 2023-01-08 17:36:13.572773, WORKING, &-99-& 
[WORKSTAT], 27847, 2023-01-08 17:44:51.494850, TAKING CONTROL, &-99-& 
[WORKSTAT], 27847, 2023-01-08 17:44:54.502728, WORKING, &-99-& 
[WORKSTAT], 27847, 2023-01-08 17:44:57.513301, WORKING, &-99-& 
[WORKSTAT], 27847, 2023-01-08 17:45:00.534120, WORKING, &-99-& 
[WORKSTAT], 27847, 2023-01-08 17:45:03.542003, WORKING, &-99-& 
[WORKSTAT], 27847, 2023-01-08 17:45:06.545834, WORKING, &-99-& 
[WORKSTAT], 27847, 2023-01-08 17:45:09.547135, WORKING, &-99-& 
[WORKSTAT], 27847, 2023-01-08 17:45:12.562502, WORKING, &-99-& 
[WORKSTAT], 27847, 2023-01-08 17:45:15.564911, WORKING, &-99-& 
[WORKSTAT], 27847, 2023-01-08 17:45:18.568007, WORKING, &-99-& 
[WORKSTAT], 27847, 2023-01-08 17:45:21.577509, WORKING, &-99-& 
[WORKSTAT], 27847, 2023-01-08 17:45:24.582847, WORKING, &-99-& 
[WORKSTAT], 27847, 2023-01-08 17:45:27.592904, WORKING, &-99-& 
[WORKSTAT], 27847, 2023-01-08 17:45:30.607768, WORKING, &-99-& 
[WORKSTAT], 27847, 2023-01-08 17:45:33.619884, WORKING, &-99-& 
[WORKSTAT], 27847, 2023-01-08 17:45:36.623598, WORKING, &-99-& 
[WORKSTAT], 27847, 2023-01-08 17:45:39.624640, WORKING, &-99-& 
[WORKSTAT], 27847, 2023-01-08 17:45:42.628049, WORKING, &-99-& 
[WORKSTAT], 27847, 2023-01-08 17:45:45.635098, WORKING, &-99-& 
[WORKSTAT], 27847, 2023-01-08 17:45:48.650386, WORKING, &-99-& 
