Full,Abbrv
ALLEY,ALLEE
ALLEY,ALLEY
ALLEY,ALLY
ALLEY,ALY
ANEX,ANEX
ANEX,ANNEX
ANEX,ANNX
ANEX,ANX
AVENUE,AV
AVENUE,AVE
AVENUE,AVEN
AVENUE,AVENU
AVENUE,AVENUE
AVENUE,AVN
AVENUE,AVNUE
BOTTOM,BOT
BOTTOM,BTM
BOTTOM,BOTTM
BOULEVARD,BLVD
BOULEVARD,BOUL
BOULEVARD,BOULV
BOULEVARD,BLVRD
BOULEVARD,BV
CENTRE,CEN
CENTRE,CTR
CENTRE,CENT
CENTRE,CENTR
CENTRE,CENTR
CENTRE,CNTER
CENTRE,CNTR
COMMON,CMN
CORNER,COR
COURSE,CRSE
COURT,CRT
COURT,CT
CREEK,CR
CRESCENT,CRES
CRESCENT,CRSENT
CRESCENT,CRSNT
CRESCENT,CRSNT
CROSSING,CROSSING
CROSSING,XING
CROSSING,CRSSNG
CIRCLE,CRCL
DRIVE,DR
DRIVE,DRIV
DRIVE,DRV
EXPRESSWAY,EXP
EXPRESSWAY,EXPY
EXPRESSWAY,EXPR
EXPRESSWAY,EXPRESS
EXPRESSWAY,EXPW
EXPRESSWAY,EXPY
GARDEN,GDN
GARDEN,GARDN
GARDEN,GRDEN
GARDEN,GRDN
GARDENS,GDNS
GATE,GT
GROVE,GRV
GATEWAY,GTWY
GATEWAY,GATEWY
GATEWAY,GATWAY
GATEWAY,GTWAY
GATEWAY,GTWAY
GATEWAY,GTWY
HIGHWAY,HWY
HIGHWAY,HIGHWY
HIGHWAY,HIWAY
HIGHWAY,HIWY
HIGHWAY,HWAY
HILL,HL
HEIGHTS,HTS
JUNCTION,JCT
JUNCTION,JCTION
JUNCTION,JUNCTN
JUNCTION,JUNCTON
LANE,LN
LANE,Ln
LAWN,LWN
LINE,LI
PARK,PRK
PARK,PK
PARKWAY,PARKWY
PARKWAY,PKWAY
PARKWAY,PKWY
PARKWAY,PKY
PATH,PTH
PLAZA,PLZ
PLAZA,PLZA
PLACE,PL
POINT,PT
RIVER,RIV
RIVER,RIVR
RIVER,RVR
ROAD,RD
ROUTE,RTE
ROADWAY,ROADWAY
ROADWAY,RDWY
SHORE,SHOAR
SHORE,SHR
SQUARE,SQ
SQUARE,SQR
SQUARE,SQRE
SQUARE,SQU
STATION,STA
STATION,STATN
STATION,STN
STREET,ST
STREET,STR
STREET,STRT
TRAIL,TRL
TERRACE,TER
VILLE,VL
VILLE,VIL
WAY,WY
WOODS,WDS
